"winner_id","loser_id","score","set_order","best_of","surface","tourney_date","winner_age","loser_age","winner_rank","loser_rank","w_games","l_games","sets_won_winner","sets_won_loser","total_sets","row_num","N_months_since_last_match_winner","N_months_since_last_match_loser"
104755,103852,"6-2 6-1 6-3","111",5,"Hard",2008-01-14,21.5742642026,26.3162217659,8,37,18,6,3,0,3,141,0,0
104214,104019,"7-5 7-5 6-2","111",5,"Hard",2008-01-14,24.5037645448,25.5633127995,35,105,20,12,3,0,3,142,0,0
104198,104268,"6-4 5-7 6-4 7-6(6)","1011",5,"Hard",2008-01-14,24.6132785763,24.167008898,86,84,24,21,3,1,4,143,0,0
104542,104173,"6-4 7-6(4) 6-2","111",5,"Hard",2008-01-14,22.7433264887,24.7118412047,38,172,19,12,3,0,3,144,0,0
104022,104312,"4-6 7-5 6-3 7-6(4)","0111",5,"Hard",2008-01-14,25.5550992471,23.8959616701,14,48,24,20,3,1,4,145,0,0
103333,104534,"6-7(5) 6-4 6-3 6-1","0111",5,"Hard",2008-01-14,28.8761122519,22.7789185489,24,66,24,15,3,1,4,146,0,0
103786,103917,"6-4 6-0 6-3","111",5,"Hard",2008-01-14,26.6173853525,25.9794661191,4,44,18,7,3,0,3,147,0,0
104053,103582,"6-2 6-2 6-4","111",5,"Hard",2008-01-14,25.3744010951,27.537303217,6,54,18,8,3,0,3,148,0,0
103813,105028,"6-2 7-5 7-6(2)","111",5,"Hard",2008-01-14,26.4777549624,20.2491444216,26,170,20,13,3,0,3,149,0,0
103888,103990,"6-1 6-2 6-3","111",5,"Hard",2008-01-14,26.0971937029,25.7056810404,43,12,18,6,3,0,3,150,0,0
102905,102860,"6-3 7-6(6) 7-6(5)","111",5,"Hard",2008-01-14,31.0308008214,31.3319644079,68,41,20,15,3,0,3,151,0,0
103908,104154,"6-7(5) 6-0 6-4 6-4","0111",5,"Hard",2008-01-14,26.0041067762,24.7857631759,25,100,24,15,3,1,4,152,0,0
104468,102783,"6-2 6-2 6-1","111",5,"Hard",2008-01-14,23.0472279261,31.7207392197,33,92,18,5,3,0,3,153,0,0
104745,103722,"6-0 6-2 6-2","111",5,"Hard",2008-01-14,21.6153319644,26.8747433265,2,88,18,4,3,0,3,154,0,0
103819,104386,"6-7(5) 7-6(1) 5-7 6-1 10-8","01011",5,"Hard",2008-01-14,26.4339493498,23.5619438741,1,49,34,29,3,2,5,155,0,0
104607,104338,"3-6 6-3 7-6(5) 6-2","0111",5,"Hard",2008-01-14,22.3244353183,23.794661191,13,23,22,17,3,1,4,156,0,0
103484,103206,"4-6 2-6 6-0 7-6(5) 6-2","00111",5,"Hard",2008-01-14,28.0465434634,29.6290212183,15,46,25,20,3,2,5,157,0,0
105227,103602,"6-2 6-7(4) 6-3 6-1","1011",5,"Hard",2008-01-14,19.2936344969,27.4606433949,57,7,24,13,3,1,4,158,0,0
104925,105023,"6-3 6-1 6-3","111",5,"Hard",2008-01-14,20.6488706366,20.2710472279,3,62,18,7,3,0,3,159,0,0
103720,104571,"4-6 7-5 7-5 6-7(4) 6-3","01101",5,"Hard",2008-01-14,26.8856947296,22.5763175907,22,16,30,26,3,2,5,160,0,0
103507,103900,"6-1 6-2 6-3","111",5,"Hard",2008-01-14,27.9206023272,26.0342231348,21,10,18,6,3,0,3,161,0,0
103970,102434,"6-3 6-3 6-2","111",5,"Hard",2008-01-14,25.7850787132,33.4893908282,5,80,18,8,3,0,3,162,0,0
104755,104214,"6-3 6-2 4-6 6-4","1101",5,"Hard",2008-01-14,21.5742642026,24.5037645448,8,35,22,15,3,1,4,163,0,0
104542,104198,"6-3 6-4 6-2","111",5,"Hard",2008-01-14,22.7433264887,24.6132785763,38,86,18,9,3,0,3,164,0,0
104022,103333,"6-2 6-4 6-2","111",5,"Hard",2008-01-14,25.5550992471,28.8761122519,14,24,18,8,3,0,3,165,0,0
103786,102967,"6-3 6-2 6-3","111",5,"Hard",2008-01-14,26.6173853525,30.7926078029,4,73,18,8,3,0,3,166,0,0
104259,104053,"6-4 3-6 7-6(9) 6-7(3) 8-6","10101",5,"Hard",2008-01-14,24.2464065708,25.3744010951,27,6,30,29,3,2,5,167,0,0
103813,103888,"3-6 7-6(4) 6-3 6-1","0111",5,"Hard",2008-01-14,26.4777549624,26.0971937029,26,43,22,16,3,1,4,168,0,0
103908,102905,"4-6 7-6(4) 2-6 7-5 8-6","01011",5,"Hard",2008-01-14,26.0041067762,31.0308008214,25,68,28,29,3,2,5,169,0,0
104745,104468,"7-5 6-2 6-3","111",5,"Hard",2008-01-14,21.6153319644,23.0472279261,2,33,19,10,3,0,3,170,0,0
103819,104607,"6-4 7-6(7) 6-3","111",5,"Hard",2008-01-14,26.4339493498,22.3244353183,1,13,19,13,3,0,3,171,0,0
103484,105227,"6-3 6-4 6-4","111",5,"Hard",2008-01-14,28.0465434634,19.2936344969,15,57,18,11,3,0,3,172,0,0
104925,103720,"7-5 6-3 6-3","111",5,"Hard",2008-01-14,20.6488706366,26.8856947296,3,22,19,11,3,0,3,173,0,0
103970,103507,"7-5 3-6 6-4 6-1","1011",5,"Hard",2008-01-14,25.7850787132,27.9206023272,5,21,22,16,3,1,4,174,0,0
104542,104755,"6-2 6-7(5) 7-6(6) 6-3","1011",5,"Hard",2008-01-14,22.7433264887,21.5742642026,38,8,25,18,3,1,4,175,0,0
104022,103786,"7-6(2) 6-3 6-1","111",5,"Hard",2008-01-14,25.5550992471,26.6173853525,14,4,19,10,3,0,3,176,0,0
103813,104259,"3-6 7-6(7) 7-6(9) 6-3","0111",5,"Hard",2008-01-14,26.4777549624,24.2464065708,26,27,23,21,3,1,4,177,0,0
103819,103484,"7-5 7-6(5) 6-4","111",5,"Hard",2008-01-14,26.4339493498,28.0465434634,1,15,20,15,3,0,3,178,0,0
104925,103970,"6-0 6-3 7-5","111",5,"Hard",2008-01-14,20.6488706366,25.7850787132,3,5,19,8,3,0,3,179,0,0
104542,104022,"7-5 6-0 7-6(6)","111",5,"Hard",2008-01-14,22.7433264887,25.5550992471,38,14,20,11,3,0,3,180,0,0
104745,103813,"7-5 6-3 6-1","111",5,"Hard",2008-01-14,21.6153319644,26.4777549624,2,26,19,9,3,0,3,181,0,0
104925,103819,"7-5 6-3 7-6(5)","111",5,"Hard",2008-01-14,20.6488706366,26.4339493498,3,1,20,14,3,0,3,182,0,0
104542,104745,"6-2 6-3 6-2","111",5,"Hard",2008-01-14,22.7433264887,21.6153319644,38,2,18,7,3,0,3,183,0,0
104925,104542,"4-6 6-4 6-3 7-6(2)","0111",5,"Hard",2008-01-14,20.6488706366,22.7433264887,3,38,23,19,3,1,4,184,0,0
103602,104154,"7-5 6-3","11",3,"Clay",2008-01-28,27.498973306,24.8240930869,24,100,13,8,2,0,2,185,0,0
103701,103151,"6-3 7-5","11",3,"Clay",2008-01-28,26.9897330595,29.9137577002,102,118,13,8,2,0,2,186,0,0
104122,103534,"7-5 6-2","11",3,"Clay",2008-01-28,24.9828884326,27.8439425051,78,108,13,7,2,0,2,187,0,12
103632,102860,"6-4 6-4","11",3,"Clay",2008-01-28,27.370294319,31.370294319,76,41,12,8,2,0,2,188,0,0
104269,105070,"6-4 6-3","11",3,"Clay",2008-01-28,24.2026009582,20.052019165,29,734,12,7,2,0,2,189,0,12
104655,103909,"6-4 4-6 6-3","101",3,"Clay",2008-01-28,22.0725530459,26.0396988364,111,NA,16,13,2,1,3,190,12,12
104593,104724,"6-4 1-6 6-1","101",3,"Clay",2008-01-28,22.4750171116,21.7659137577,167,160,13,11,2,1,3,191,12,12
